
Pathwayname ECID Probeset AGI c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c13 c14 c15 c16 c17 c18 c19 c20 c21 c22 c23 c24 c25 c26 c27 c28 c29 c30 c31 c32 c33 c34 c35 c36 c37 c38 c39 c40 c41 c42 c43 c44 c45 c46 c47 c48 c49 c50 c51 c52 c53 c54 c55 c56 c57 c58 c59 c60 c61 c62 c63 c64 c65 c66 c67 c68 c69 c70 c71 c72 c73 c74 c75 c76 c77 c78 c79 c80 c81 c82 c83 c84 c85 c86 c87 c88 c89 c90 c91 c92 c93 c94 c95 c96 c97 c98 c99 c100 c101 c102 c103 c104 c105 c106 c107 c108 c109 c110 c111 c112 c113 c114 c115 c116 c117 c118
Calvincycle 5.3.1.6 259749_at AT1G71100 615 386 916.7 483 480.4 457.5 449.8 338.2 475.3 958.5 474.7 391.9 1007.9 585.1 479.2 475 495.9 520.2 395.1 574.8 371.3 424 426.8 623.5 1099 1017.7 1549.7 889.7 1473.7 1263.5 471.3 672 331.3 259.8 692.8 263.2 336 696.8 266.5 414.7 513.3 420.8 246.2 502.1 390.3 708.3 545.3 577.6 700.1 505.3 422.8 679.1 497 750.9 384 528.3 558.4 619.1 368.1 508.7 502.2 336.9 377.6 437 360.9 934.4 1040.7 1054.7 788.1 404.9 416 465 348.3 318.3 309.7 375.3 316.3 292.9 350.9 313.1 230.9 460.8 376.6 410.6 413.5 491.2 586.2 318.8 340.7 324.9 436.5 392 448.9 711.9 483.8 445.5 313.2 267.8 522.4 575.4 546.6 364.9 358.4 596.7 551.9 229.2 175.7 512 807.5 302.8 368.1 441 800.9 527.8 349.7 526.6 529.3 484.2
Calvincycle 5.3.1.6 265742_at AT2G01290 2427.5 3852.1 1077.5 4113.6 4365.8 1228 1783.5 1384.9 2359.7 1470 1539.4 1247.7 2978.9 1924.1 781.3 660.2 759.4 613 590.1 616.2 570.3 736.1 1462.3 904.2 951.9 1048.5 912.4 798.6 1521 1959.4 227.6 1563.2 188.9 264 1455.5 339.2 172.5 1812.6 1105 227 1951.4 865.4 392.2 1718.7 1974.1 1390.8 1483.1 1226.3 1327 1145.9 1567.5 1162 1071 1348 934.8 1461 994.5 524.6 922.8 816.1 807.1 822.2 980 1000.8 981.8 1189.3 864.8 1110.6 980.5 3031.6 2963 3597.4 3147.7 3413.4 2994.9 2933.3 2861.1 2493.8 2939 2881.9 2573.2 1629.1 1527.7 1633.2 1846.9 2918.7 2535 1512.4 2023.7 1236.7 1943.2 2502.6 1769.6 1050.5 1287.3 2780.7 1709.6 1414 1893.3 1124.8 1309.2 5449.6 1558.1 1077.6 3893.7 2426.3 662.6 1496.4 1103.7 5205.6 3896.1 1444.4 950.6 1495.9 1249.2 967.9 3085.2 1446.2
Carotenoidbiosynthesis 1.14.-.- 247936_at AT5G57030 2808.6 1969.6 935.7 4973.5 2859 3712 5735.8 6166.4 4346.8 1606.8 2923.6 5471.8 1494.3 5325.5 2864 2041.7 2385.3 2249.6 1897.2 1993.2 1853.9 1898.3 5174 1929.9 1389.8 1830.1 1331.4 1212.9 1744.2 1444.5 1066.6 3075.8 1112.1 1150.2 3019.4 1448.4 1175.8 3348.9 1838.2 777.7 3490.9 2161.3 728.1 2754.5 2661.8 2422 2524.9 2796.9 2564.5 2757 2968.7 2131.6 1533.1 2194.5 1711.8 3004.6 1800.9 2703 2590.5 1919.2 2127.3 2737.7 2302.7 2982.8 3208.3 1901.7 2210 1961.9 2972 2726.6 2766.4 2760.3 2829.7 1823.3 1676.4 1888.4 1852.7 1534.7 1310.4 1462.1 1616.1 2032.2 1794.3 1802.1 1261.6 2256.5 1337.2 2280.1 2442.5 1853.3 1431.4 1948.2 3462.3 2710.7 2488.2 3837.8 2042.7 2737.9 3169.6 1657.3 3575.7 2695 3002.7 2272.3 3576.4 2901.2 2636.7 2829.1 1100.3 2446.6 5615 2715 1421.3 3579.3 2838.9 2299.8 3251.5 2135.7
Carotenoidbiosynthesis 1.14.-.- 259140_at AT3G10230 4340.8 4337.1 914.2 7278.5 4189.6 5866.4 4107.1 6453.6 7772 2991.4 5944.9 6344.7 4707.9 3947.1 3685 3165.3 3478.5 3096.8 3078.1 2740 2731.4 2413.7 6981 3774.9 1584.3 2908.8 1997 1392.9 1380 1666.4 1950.8 2640.4 1995.3 1746.1 3247.9 1834.6 1649.7 3320 2394.7 1473.2 2321 2223.8 1586.2 3509.3 4212.6 2122.5 2421.2 2497.9 2477 2598.5 2944.5 2635.2 2043.2 2614.2 2522.7 4231.4 2706.8 2897.3 2191.9 2990.6 2092.7 2881.8 3056.9 2625.6 2569.1 1751.2 2658.2 2249.5 4449.6 4505.9 4770.4 4374.6 4484.3 5441.3 5804.3 5311.2 5569.3 4330.8 6041.8 5207 5245.3 5439.4 5640.5 4519.3 3009.6 4378.6 2747.4 4388.9 6393 4350.4 3105.6 3832.5 3764.8 2373.3 3545.7 5903 4146.1 2829.1 5121.2 4007.6 5328.9 5513.6 3258.9 1684.5 7101.2 4153.2 2562 3457.2 3604.6 4286.2 8290 5264.6 2991 3779.3 6389.7 3611.2 8783.4 4466.3
Carotenoidbiosynthesis 1.14.99.30 259092_at AT3G04870 5347.2 4239.8 1590.4 4438.6 5806.6 6602.1 8456 9429 9285.3 4315.9 4196.5 5149.3 5121 5296 4760.2 4491.6 3727.3 4114.7 3939.2 4007.2 3313.4 3312.9 4729.4 3342.2 3089.2 2825 3103.1 2797.9 2677.3 3049.9 2165.2 4268.9 2480.8 2385.8 4668.5 2184.3 2090 4436.4 3358.5 2270.7 4157 3606.6 1818.9 3683 4793 3462.6 4372 3904.2 5202.9 4099.7 5168.9 2226.5 3109.4 4559.6 3775.8 3734.6 2782.3 3761.7 3084.2 3572.7 3294.4 3705.6 3776.3 2748.9 3498.2 2022.7 1531.8 1317 2667.1 6302.1 6191.9 6979.6 7227.4 5393.8 6385.7 5784 6096 5672.1 5580.3 5741.8 5720.1 11197.7 10141.4 4692.3 4491.3 7811 5814 3811 7778.8 3566.9 5610 5508.7 3418.8 4450.3 5724.2 4919 4022.7 4340.1 4170 3506.3 4453.3 6204.7 6133 5400.6 5567.3 4256.5 5389.7 3170 3852.9 5519.7 6393 3867.5 3348.7 4169.3 5053.2 3308.6 6267.5 3277.1
Carotenoidbiosynthesis 1.3.-.- 245284_at AT4G14210 3306.1 3458.2 1502.1 4767.9 4553.9 7210.5 5983.9 7427.3 6949.8 4210.9 5734.8 7036.2 4062.9 5469.3 3938.3 3654.2 3618.1 3830.3 3372 3282.2 3516.3 3143.3 5596.2 2781.8 2075.7 3011.6 1995.2 1683 2927.9 2560.5 1256.8 3482.1 1558.4 1769.3 3755.7 1559.1 1136.8 3887.8 1871.4 1066.1 3208.6 2931.1 918 3658.3 3833.4 3090.9 3207 3939.8 3592.6 3198.2 4063.3 2172.6 2554.8 3491.2 2204.5 3832.7 2719.4 3582.3 2592.7 3305.8 2789.3 3558.9 3968.4 3325 3438.3 2106 2226.2 2570.6 5038.5 4197.7 4404.4 4884.7 4746.8 3538.6 4464.5 4030.8 4551.6 3638.3 4821.8 4099.5 3873.7 5573.9 5234.2 4495.7 3660.2 4299.9 2978.2 4072 5690.6 3691.6 3414.2 3964.6 4375.9 3810.6 4271.2 4321.3 3424.3 3098.5 5009.1 3945.8 5751.5 4580.8 4752.1 3454.1 4876.1 3682.4 3773.6 3891 4916.7 3310.7 5323.5 4455.6 3476.7 2988 5958.2 3492.9 4891.3 4155.2
Carotenoidbiosynthesis 2.5.1.32 250095_at AT5G17230 11455.4 13354.6 950.9 13617.3 10789 7529 4557.8 10458.9 7214.7 5243.8 8144 9112.6 3583 6220.1 6504.6 6053.9 5649.3 5786 4915.2 4743.4 4015.1 3668.8 11899.9 3756.1 2565.7 3063.3 6035.2 3619 3299.2 2806.2 849.2 4453.5 1266.8 1378.8 4477.7 1437.2 940.6 3583.6 4306.1 533.1 4031.4 2979.3 582.6 3868.3 6678.7 1306.4 1573.7 1405.5 2061.2 2126.9 2393.4 1404.9 1005.4 1329.8 4277.3 4300.9 4467.8 4845 4651.1 3886 4556.7 5207.4 4046.2 4013.2 6447.9 5031.6 5228.8 4366.8 7774.2 6690.9 6344.5 8283.3 8873.7 5262.2 5263.1 5954.6 6522.8 3913.3 4424.7 5737.6 5194.7 5173.6 5295.7 8315.9 6579.2 7912.2 4001.4 7357.1 5741 7617.5 4760.3 5754.3 5779.1 5352.4 3860.4 11766.2 13194.7 8022.8 12858.3 7005.7 10361.3 12781.3 5907.3 4096.3 12203.4 14096.8 6861.7 7210.4 6078.5 14349.5 19698 12428.8 4774.8 8799.2 10258.2 6340.6 17283.6 10022.3
Carotenoidbiosynthesis NA 246411_at At1G57770 1216.4 1861.8 642.3 746.2 2012.4 2138.5 2097.7 2421.5 2159 625.8 1322.4 2015 823.8 1820.9 1449.6 1299.9 1059.8 987 1038.8 618.8 1381.6 1138.5 1175.9 574 632.5 612.7 429.2 414.6 491.1 525 13.2 1352.3 128.9 210.4 1395.9 210.6 88.5 1535.4 196 8 1373.9 629.9 103.6 1426 1905.9 653 749.5 995 1295 1584.6 1901.8 196.6 841.5 1132.2 164.5 1435.2 710.2 187.8 594.8 842.9 1684.8 377 928.3 296.1 432.9 636.3 767.6 899.7 1482.3 1459 1341.8 1379.6 1596.8 1817.9 1833.2 1712.5 1823 1770.7 1773.3 1902.9 1692 1732.8 1952.3 2644.6 1542.9 1872.4 1128.4 2021.7 2240.7 2203.6 1405.4 1946.9 829.4 1430.2 1499.5 486 821.1 834.4 1342.8 687.6 1519.4 1986.2 1692.1 1546.3 524.8 821.5 1078.9 722 998.3 2131 1345.8 885.6 721.7 756.5 1353.8 816.6 1202.3 1228.8
Carotenoidbiosynthesis NA 247025_at AT5G67030 10667.3 13312.7 1834.7 17893.3 15671.7 18641.3 10435.4 22994.1 28199 10550.9 19492.2 23737.6 21302.6 9603.9 13522.4 10204.7 10267 8489.3 9200 8521.6 5536.9 4286.6 22260.3 8775.6 5622.5 8693.3 5702 3600.8 1583.7 3159.4 1883.4 5756.8 1922.4 1879.3 6253.7 1420.9 1723.6 4884.9 5706.6 1193.5 2232.6 4285 1675.6 11539.9 10889.6 3392.1 4915.1 3447 4684.8 5326.2 6893.5 2204.1 2401.3 3263.1 6020.2 12092.7 3606.8 4583.4 1859.8 4884.7 2104.5 7632 5572.4 2926.9 3804.4 1728.6 4246.1 4033.2 11267.2 11010.2 11218.8 11368.6 12273.1 18312 22328.1 16610.9 18072.4 18044.1 22874.6 21518.3 20836.7 15007.5 13669.6 6400.3 6130.4 13855.7 10133.5 10571.2 21877.2 10818.3 14818.5 17004.1 10262.1 10433.8 11080.8 15460.4 9723.2 13901.4 18269.4 16951.2 15446.6 16071.3 12399.1 8775.5 22157.3 11132.4 17891.1 11958.3 16946.8 13345.3 18486.2 17552 15426.3 11406.9 22601.5 10975 16928.9 14404.1
Carotenoidbiosynthesis NA 248311_at AT5G52570 8693.4 8807.4 273.1 6894.5 7173.3 628.9 965.5 1888.7 2051.2 360.2 615.9 1437.2 2576.6 1274.6 1662.1 1426.3 1541.9 1408.7 1262.1 1395.4 780.6 569.2 3283.1 565.6 2815.3 2288.3 690.2 780.9 824.3 2016.9 497.3 1426 648.4 399.6 1727 473.7 720.4 756.9 1590.2 316.9 323.8 622.5 384.2 1435.1 1188.6 385.8 484.1 380.5 484.2 399.7 545.9 407.7 250.7 299.3 1606.9 1337.8 232.3 206.4 195.8 322.6 228.5 372.9 497.1 172 356.3 427 688.5 271 884.8 793 776.5 1430.4 1907.2 2062.2 2370.5 2082.3 2212.3 5132.8 5179.5 3889.3 4298.4 2833.1 3008 1496.8 3447.5 4354.4 4426.6 2743.2 2309.2 3239 4484.7 4815.9 330.6 1245.4 1070 4256 4731.4 4205.6 1132.8 459.1 1161.6 12283.3 1209.2 1837.1 3489.7 4748.2 5227.3 597.7 477.4 10717.4 7047.5 986.3 415.6 3059.1 888.2 699.5 3803.6 615.6
Carotenoidbiosynthesis NA 254020_at AT4G25700 10526.1 8757 988.7 9626.4 14109.2 3764.5 3695.3 6733.7 6953.9 1798.1 2427.7 4878.3 6127.5 4164.5 4632.8 3372.9 4029.6 4561 4583.4 4169 2051.5 2086.1 4079.1 1797.7 1409.2 1743.2 1022.3 1075.9 1838.4 1531.6 1844.2 3094.7 2042.5 1693.4 3466.8 1452.8 1572.8 3489.6 7580.5 1382.2 3967.8 4949.6 1442.1 2458.3 6091.2 2645.6 3673.6 3533.6 2322.4 2481.3 2787.4 660.3 1591.3 2334.7 8024.1 3895.8 2236.8 2631.3 1836 2455.9 1825.7 3418.9 2489.7 2195 3869.8 1907.4 2130.7 2461.6 3159.5 7605.3 7372.9 8888.9 8604.1 11385.6 13523.3 11100.6 12597.2 11194.6 12999.1 12564 13484.2 11616.2 10881.8 8925.8 8572.4 14668.4 10587 7141 10444.7 7280.5 9543.2 11392.8 1443.9 2291.5 3807.7 5909.1 6112.1 3593.9 2340.5 2156.9 2296.4 13505.8 2792.4 2693.5 8013.9 5070.9 4621.7 1402.7 2377.8 12894.5 10462.3 1644.2 2164.2 7844 2778.8 1420.5 6559.9 1074.3
Carotenoidbiosynthesis NA 260821_at AT1G06820 1020.8 1166.4 1865.5 1683.4 1312.8 1320.6 1496.7 1808 1593.7 790.6 1191.2 1582.9 991.8 1356.8 1084.9 1005.1 937.5 1060.8 1106.5 956.6 1092.8 757.1 1413.5 1190.8 928.3 991.5 1002.1 786.5 1072 1078.9 621.8 1335.7 541.7 539.1 1200 482.9 710.1 1449.8 637.9 549 1428.5 751.4 547.8 1148.8 922.1 1006.2 858.8 1129.9 1156.5 1109.4 1413.2 990 856.6 868.6 366.9 1117.2 1033.6 829.5 882.3 1051.6 1222.3 1221.9 907.2 1122.5 1314.2 654.3 898.8 951.1 1071.4 1081.7 1038.6 1064.6 1123.3 745.7 733.5 954.6 821 592.6 610.7 844.2 770.2 959.8 779.1 478 416.2 635.2 439.4 690.3 979.5 590.9 482.1 520.4 1242.3 893.3 991.4 1022.2 1015.3 1195.8 1083.3 877.9 1085.9 1248.3 830.5 1086.8 770.2 1182.7 1032 1092.5 743.1 1157.8 1758.4 1148.7 856 982.9 1188.6 755.9 1255.8 959.7
Carotenoidbiosynthesis NA 264799_at AT1G08550 810.8 1627.7 285.3 1381.9 733.6 6347.2 3164.2 5613.8 3941.9 3468 7889.2 9008.7 1291 3554.1 1824.6 1360 987.3 1038.9 1898.5 1823.4 1992.8 1621.6 3434 2646 1151.8 1896.6 1038.6 923.4 1310.5 1137.5 513.8 2249.7 672.1 758.4 2250.9 470.3 874.3 3591.5 879.3 496.1 3255.2 1696.3 527.6 2499.8 3966 1981.5 1923.3 1738.9 2223.1 2129.3 2598.3 1152.4 1434.8 1860.1 915.9 2446.8 2676.2 3354 3122.9 3182.4 2959.7 3751.8 4051 2854.6 4293.4 1343.4 1307.7 1890.6 2477.1 6848.9 6891.1 6357.9 7124.6 7647.8 7995.2 7402.5 8044.6 5375.1 5691.6 5744.2 6085.2 3746.5 3982.3 2153 1783.8 1969.5 1331.3 3243.7 5586.7 2506.4 2222 2912.2 5531.9 2463.1 3311.6 1260.3 1260.6 1155.4 3909 2957.8 4032.3 1445.2 3193.3 2274.7 961.7 1458.5 1493 2994.1 2176.2 1479 2087.6 3955.4 2584.3 774.9 4113.4 3627.1 1975.1 4557.8
Chorismatemetabolism 2.5.1.19 246627_s_at AT1G48860 5749.4 4731.7 12129.6 3886.3 6856.5 3697.2 5271.2 3627.7 4664.9 3172.6 2895.2 2714.6 3759.3 5067.1 4414.2 4665.4 4524.2 3957.8 3958.9 4168.6 4678.2 3642 2554.6 3013.4 5014.3 3431 5890.1 6679.8 10091.8 7497.6 4532.3 4611.6 4668.1 4719.3 5454.9 4201.8 5035.2 4742.5 6071.5 5216.7 5162.7 6156.7 5357 3537.3 5048.9 4971.3 4832.2 4949.8 4742.8 4688.3 4771.6 3337.6 4393.9 5773.6 5099.1 3240 2992.6 2209.2 3298 2720.8 4602 3769.7 3255.4 4673.5 4292.1 2636.7 1445 1839.7 1756.3 5435.6 5290.8 4884.9 4136.3 3024.6 3401.9 3886.2 3166 2736.6 2939.5 3113.7 3110.9 3248.4 3741.6 1715.4 1888.2 5530.2 2845.5 2040.6 3652.3 1988.6 2474 3009.5 2509 5826.3 4786.4 3875.3 4205 5480 3106.9 3379.3 2675.7 5360.2 5996.7 7976.6 2490.5 3999.4 5138.2 2756.5 2941.4 4756.5 4496.7 2469 3168.9 3073.3 3248.3 3268.4 3637.6 2616.3
Chorismatemetabolism 2.7.1.71 252900_at AT4G39540 1844.9 1477 716.3 2519.8 1663 1167.6 632.2 1117.7 1411.9 1203.2 876.5 1222.1 1570.9 917.6 1402.9 1492.2 1384.6 907.2 1463.9 1239.1 1287.3 1183.3 1249 1231.5 1278 844.5 1864.8 1313.3 2050.5 2037.6 433.4 955.4 381.9 369.3 1132.7 396.5 297.9 1107.6 577.7 382.6 823.2 913.2 630.1 1312 1212.2 859.7 879.5 775.3 927.3 867.7 1013.1 674.4 682.7 948.7 672.4 962.5 1312.8 1210 1311.9 1051.7 1089.7 1253.9 1543.1 1353.1 1257.2 1953.9 2038.6 1765.2 1559.3 1370.6 1367.4 1110.2 1416 1150 1244.6 1370.2 1213.2 1184.8 962.3 1093.2 1539 869.5 1498.5 1320.5 1057.1 1626.7 672 1145.5 1454 1414.6 768.2 1104.8 1537 1117 1388.1 1300.1 1002.5 1354.3 1359.1 1345.6 1448.8 1832.4 1965.5 1639.6 1519.9 1039 1328.6 1307.5 1261.4 1279 1870.9 1725.9 1736.3 1223.1 1748.9 1297.3 1401.1 833.2
Chorismatemetabolism 2.7.1.71 258281_at AT3G26900 3906 3832.4 597.1 4760.2 2806.2 4570.4 3428.1 4288.1 3215.3 2675 3802 4107.4 1140.3 2762.3 1983.7 2051.8 2411.6 2208.6 2262.2 1923.5 2089 1767 3761.9 2654.6 2079.3 2082.5 1304.5 1212.3 1096.3 1525 1809.9 3377.6 1965.9 2062.1 3244.4 1770.9 1697.7 3255.2 1462.1 1093.1 3798.7 2262.7 1344.1 3313.6 2433.6 2339.3 2576.4 2122.5 2426.7 2984.6 3024.1 1774.4 2524.7 2702.7 1507.4 2900.2 2215.4 2773.7 2483.5 2285.4 2320 2595.1 2512.7 2575.6 3370 3020.5 4324.3 4340.2 3257.7 2754.5 2667.6 2716.9 2788.1 2687.8 2986.1 2789.9 2787.2 2177.2 2354.6 2353.6 2589.4 2584.8 2500.6 4021 2158.9 2664.1 1580.6 3765.1 2823.5 3032.6 2022.8 2322.2 3353.5 2043.6 2276.3 2809.1 3997.7 3310.1 3637.9 2232.6 3257.5 4216.5 1710 1615.4 2549.6 4558.3 2734.9 2906.4 1762.1 4050.9 2850.3 2553.5 2148.2 2178.8 2426.2 2506.3 2255.2 2296.6
Chorismatemetabolism 2.7.1.71 263897_at AT2G21940 571.7 387.9 529.2 931.2 834 767.7 442.4 666.2 610.7 1007.6 584.2 428 472.4 403.4 509.9 347.6 505.3 420.6 361.9 562.4 430.5 472.9 768.3 796.9 1063.3 533.5 614.6 646.6 648 589.3 773.9 563 674 585.7 624.9 578.6 466.4 522.7 1355.8 746.9 654.8 954.2 869.6 733.2 470.8 582.1 666.7 689 451.2 399.2 471.1 365.9 411.5 439.8 1045.2 566.3 452.3 604.2 439.8 579.9 584.1 382.3 535.4 732 488.2 1688.2 961.7 799.3 645.3 591.2 691.1 599.7 661 415.2 574.1 509.7 450.5 670.4 731.4 590.8 776.3 626.8 983.8 630.4 685.8 798.5 661.3 652.5 621.7 813.8 745.8 790 615.6 612.3 369.2 529.4 425.4 630 742.4 899.7 600.3 650.8 662.3 600.4 923.8 534.2 571.5 686.9 762.9 390.4 573.3 490.9 990.8 751.8 547.6 628.6 490 678.2
Chorismatemetabolism 4.6.1.3 247138_at AT5G66120 3806.4 3244.1 3059.3 4206.4 3829.7 3734.9 2587.8 3397.6 4202.3 3629.1 3712.5 3460.4 2442.7 2697.5 3464.4 3829.5 3327.8 3379.8 3556.4 3232.2 3803 4076.1 4215.4 2919.7 3200.5 2805.6 5987.8 5877.6 4665.8 5807.7 2729.9 5181.1 2498.4 2733.4 4760.7 2633.3 2562.9 4422 2842.5 3314.5 4098.7 3967.3 2608.7 3853.4 4424.7 3741.8 4108.6 4318 4217.2 4204.3 4835.8 2236.3 3866.7 4138 3356.2 3275.9 3260.3 3034.7 2549 2472.8 2486.8 2781.1 2934.5 2460.7 2942.9 3198.6 1944.1 2294 2833.8 3189.4 3034.1 3265 3147.4 2546.9 2026.3 2770.9 2423.5 2521.1 2030 2421.2 2879.1 1807 2536.9 2055.7 2279.5 4186.7 2918.7 2214.9 2653.4 2111.9 2188.2 2657.3 3178.3 6333.1 4058.8 3092.1 3858.2 4526.8 4408.4 2975.5 3798.2 4106.6 4560.7 6145.6 3586.6 3966.5 4497.2 3081 4312.2 4160.5 3995.7 3025.9 3817.9 3849.5 1937 3899.8 3133.7 3275
Chorismatemetabolism 4.6.1.4 245832_at AT1G48850 4624.4 3189.8 3673.3 3280.9 5241.1 2416 3164.1 2520.2 2552.9 2531.9 1799.2 2136.9 2251.3 3134.7 4575 4573.6 4325.8 4129.5 3331.2 3563.7 3205.1 3417 1882.1 1734.6 2827.5 2088 7889.9 7131 8805 7960.2 2856.8 3929.7 3036.6 2980.5 3700.8 1974.9 2419.3 3478.2 3147.4 3666.7 3304.9 3357.2 2816.1 2540.8 2847.6 2028 1963.3 2560 2608.1 3118.9 3328.3 853.5 2456.5 3115.9 3506.8 2491.9 2686 2371.5 2725 2582.1 2389.6 2580.1 3100 2656 2415.9 1647.3 673.9 809.9 1289.5 4198 4470.7 4110.8 4085.6 2486.3 2325.8 2875.4 2794 2354.7 2144.5 2356.9 2519.2 2441 2636.6 1198.1 1296.7 4182.4 1286.2 997.1 2620.7 1244.4 1568 1820.7 1830.4 8038.8 4122.6 3650.9 2939.9 4528.6 2832 2336.5 2330.8 4210.9 7155.8 7736.9 2295.5 3371.7 4317.6 2513.3 2597.5 3210.6 4010.6 1920.5 2468 3350.9 1911.4 2268 3287.6 1708.2
Chorismatemetabolism 5.4.99.6 262177_at AT1G74710 574.1 430.5 412 718.1 376.5 645.9 621.7 685.6 661.5 3228.1 831.6 560.9 6708.8 887.6 545 640.4 720 448 443.4 448.1 867 1042 825.6 439 343 1109.7 8448.3 4792.6 510.1 305.4 223.6 556.3 225.2 266.2 556.1 302.6 143.4 596.8 552.6 175 495.9 254.6 50.4 314.8 500 656.9 533.2 951.9 443.5 368.4 321.1 442.9 249.5 277.1 508 403 330.6 441.1 247.5 220 575.6 530.3 272.9 373.6 309.5 968.7 421.9 358.2 460.4 248.3 248.5 198.1 206.8 304.1 241.2 284.9 214.3 170.8 90.8 196.1 180.6 311.6 438.7 337.8 455 406.3 351.9 191.5 208.5 164.9 298.5 360.8 714.1 4648.9 617.9 557.6 581.8 412.2 3045.9 4230.4 2769.4 550.5 524.2 5722 781.7 731.2 660.5 2344.2 6372.9 599.1 426.7 1401.1 2431 2318.5 2777.5 2282.9 2227.8 3588.2
Chorismatemetabolism NA 252831_at AT4G39980 3209.2 1635.5 4463.5 5162.5 6630.3 4038.8 4567.6 4181 3621 6969.9 4093 3604.2 4838.1 5671.5 3033 2908.8 3001.1 2678.9 2607.4 2815.7 3066.7 3468.1 2214.4 4181.6 13586.7 5980.9 8981.8 6789 15436.1 12887 2396.5 5125.6 1985.4 2858.2 5078.2 1994.6 3132.7 5614.5 2560.7 2310.9 6153.8 4646.5 2124.6 3691 4555.1 4390.6 3325.3 4886.7 5107.1 4589.1 4432.6 4639.4 4478.5 5634 3287.3 3202 3613.7 3933.3 3405.6 3353.7 3506.4 3127.5 3689.8 3199.6 4239.8 3327.6 1555.9 2640.3 3759.9 4243.4 4390.8 3757.8 3699.1 2331.8 1711.9 2137.8 1950.9 1737.2 1337 1863 1789.1 2605.5 2419.4 1212.3 1406.8 3700.5 2129.6 924.4 2436 716.8 1677.9 1190.3 6387.2 7912.9 5272.5 1858 1304.7 1498.5 4412.8 3743.1 4734.9 1978.6 7702.4 7271.5 1216.9 1317.5 904.7 4264.2 4150.8 1360.5 2265.2 4316.2 5249.8 2251.4 3351.5 4805 1504.9 3967
Chorismatemetabolism NA 253333_at AT4G33510 5919.3 6947.7 1667.5 3227.3 5657.9 11125.3 10402.4 10794.6 10274.2 11903.3 10933.8 10653.4 8589.8 9938 5337.7 4898.4 5151.3 6258.8 6389.9 5752.6 6684.9 6085.4 7547.1 8424.6 8130 7502 8726 7548.8 6862.9 6994.2 3730.8 7378.8 3993.6 3598.5 8008.2 3447.8 4045.6 9601.6 3950.7 3188.6 9739.1 7513.9 4082 6514.1 9841.6 5502.7 5691.8 5874.5 5894.6 6599 7301 4849.1 6071.4 6832.1 4176.3 6708.2 8852.7 10076 8466.9 10010.4 10024.8 10735.1 10243.2 9008 12080.8 4031 2455.2 4548.1 4309.5 8898.6 8664.4 7565.1 8194.5 8744.5 8176.4 8773.6 9531.1 7964.8 8589.9 8148.7 8541.8 6887.8 8398.2 5541.8 5592 6242.3 6016.5 6071.3 8601.7 5471.3 6212.8 6310.8 10463.1 7011 7156.4 5619.1 6683.3 6154.3 8705.9 11468.9 8233.9 6866.6 7573.7 6492.5 5570.9 6970.5 5399 7456.8 11179.6 5449 6057.2 6053 9098.2 5417 8153 8730.7 10140.3 11271.7
Chorismatemetabolism NA 258908_at AT3G06350 2685.8 2550.9 2779.9 1722.8 3730.8 1684.8 1853 1572.1 1280.2 1718.4 1683 1702 1070.7 1554.9 2225.3 2231.8 2096.4 1918.7 2017.8 2180.5 1890.5 1958.5 1866.5 1494.9 1482.1 1355.5 3721.7 3566.2 3855.2 3664.6 2370.4 2238.4 2503.5 2113.9 2386.6 2641 1696.8 2531.7 2177.9 2634.4 2445.9 2722.3 2710.3 2151.5 2426.2 2226.4 2144.8 2443.1 2458.6 2628.4 2991 1970.8 2756.2 2956.3 2350.5 1802.5 1837.5 1631.8 1586.8 1783.6 1352.4 1717.1 1638.3 1516 1686 975.8 417.9 762.4 785.8 2266.8 2483.9 2218.9 2076.6 2233.8 2041.7 2249.8 2472.1 1408.7 1618.1 2165.9 2341.9 1974.1 2245.9 2435.9 1857.6 4179.1 1975.2 1868.6 2317 2075.9 1784.9 1595 1584.8 3033.7 2076.9 1921.9 2671 2748.2 2191 2177.5 2022.6 3002.1 2625.7 2836.6 1643.9 2897.8 2436.1 1972.2 2533.5 2335.3 2085.9 2368.6 2340.1 1835 1866.3 1812.7 2015.9 1818
Citratecycle(TCAcycle) 1.1.1.37 247813_at AT5G58330 10047.4 10705.4 3120.3 11224.5 8787.3 13423.6 15604 17319.6 16555.9 11113.9 12393.2 14774.7 8326.3 11892 12716 11187.1 13145.6 13588.8 11208.1 10539.6 10266.4 11103.6 14894 7406 5617.9 8019.4 4746 7567.9 5486.8 4408.3 1492.1 10586.5 1991.5 2276.6 11743.4 1877.5 1943 11472.7 2727 717.7 10744.7 5164.2 1028.1 10640.7 11696.3 7814.4 8655.5 9484.1 10675 11642.4 10620.6 4980.9 5968.4 7521.8 2964.9 10506.4 7407 9429.6 6902.8 7246.4 8392 10948.5 8668.5 6270.5 11442.6 5855.7 6898.3 6016.4 9514.6 9404.7 9782.6 10435.5 10011.1 7863.3 8480.7 7862.7 7916.8 8286.6 9146.1 8089.1 8256.9 13304.7 11550.4 7068.5 4799.8 10113.1 5976.3 7196.2 11641.2 7387.1 6782.5 8840.1 9604.1 9185.8 11294.7 11216 13167.6 11435.3 12818.3 11812.7 14023.3 11544.7 10398.1 8298.8 12182.6 12131.1 12905.6 10554.5 11522.4 10125.1 13324.1 13301.3 10487.1 10374.9 15102.6 9425.3 16315.3 11084.2
